ID,FLIGHT_DATE,FLIGHT_NUMBER,CORRELATION_ID,OPERATION_TYPE,METER_ID,METER_LOCATION,METER_TYPE,METER_STATUS,METER_START_TIME,METER_START_READING,METER_STATUS,METER_END_TIME,METER_END_READING,UNIT_OF_MEASUREMENT,AEROBILL_REMARK,RECONCILIATION_REQUIRED
15970,02-06-2026,6E2086,484109,ARR,FGP15,G15,FGP,ON,2026-06-02 10:46:00,74.7,OFF,2026-06-02 11:33:00,85.8,KWH,,NO
15971,02-06-2026,6E2086,484108,ARR,PCA15,G15,PCA,ON,2026-06-02 10:50:00,6273.5,OFF,2026-06-02 11:31:00,6327.9,KWH,,NO
15972,02-06-2026,6E2052,484126,ARR,FGP16,G16,FGP,ON,2026-06-02 11:17:00,892.7,OFF,2026-06-02 12:19:00,908.4,KWH,,NO
15973,02-06-2026,6E2052,484127,ARR,PBB16,G16,PBB,ON,2026-06-02 11:16:00,0,OFF,2026-06-02 12:27:00,0,NULL,,NO
15974,02-06-2026,6E2052,484125,ARR,PCA16,G16,PCA,ON,2026-06-02 11:25:00,1523.4,OFF,2026-06-02 12:17:00,1578.6,KWH,,NO
15975,02-06-2026,6E533,484137,ARR,PBB17,G17,PBB,ON,2026-06-02 12:08:00,0,OFF,2026-06-02 12:49:00,0,NULL,"Not used: FGP, PCA",YES
15976,02-06-2026,QP2018,484161,ARR,PBB12R,G12R,PBB,ON,2026-06-02 12:12:00,0,OFF,2026-06-02 13:49:00,0,NULL,"Not used: FGP, PCA",YES
15977,02-06-2026,6E832,484140,ARR,PBB14,G14,PBB,ON,2026-06-02 12:28:00,0,OFF,2026-06-02 13:12:00,0,NULL,,NO
15978,02-06-2026,6E832,484142,ARR,FGP14,G14,FGP,ON,2026-06-02 12:28:00,6490.9,OFF,2026-06-02 13:13:00,6502.7,KWH,,NO
15979,02-06-2026,6E832,484141,ARR,PCA14,G14,PCA,ON,2026-06-02 12:30:00,5139.6,OFF,2026-06-02 13:12:00,5192.1,KWH,,NO
15980,02-06-2026,6E226,484149,ARR,PBB18,G18,PBB,ON,2026-06-02 12:40:00,0,OFF,2026-06-02 13:34:00,0,NULL,Not used: FGP,YES
15981,02-06-2026,6E226,484147,ARR,PCA18,G18,PCA,ON,2026-06-02 12:42:00,3057.2,OFF,2026-06-02 13:30:00,3113.1,KWH,Not used: FGP,YES
15982,02-06-2026,6E198,484180,ARR,PBB10R,G10R,PBB,ON,2026-06-02 13:24:00,0,OFF,2026-06-02 15:04:00,0,NULL,,NO
15983,02-06-2026,6E198,484179,ARR,FGP10R,G10R,FGP,ON,2026-06-02 13:26:00,4149.4,OFF,2026-06-02 15:01:00,4165.2,KWH,,NO
15984,02-06-2026,6E792,484173,ARR,PBB15,G15,PBB,ON,2026-06-02 13:46:00,0,OFF,2026-06-02 14:38:00,0,NULL,,NO
15985,02-06-2026,6E792,484170,ARR,FGP15,G15,FGP,ON,2026-06-02 13:47:00,85.9,OFF,2026-06-02 14:30:00,97.3,KWH,,NO
15986,02-06-2026,6E792,484169,ARR,PCA15,G15,PCA,ON,2026-06-02 13:47:00,6328,OFF,2026-06-02 14:30:00,6379.5,KWH,,NO
15987,,,484165,,PBB12L,G12L,PBB,ON,2026-06-02 14:14:00,0,OFF,2026-06-02 14:14:00,0,NULL,,NO
15988,02-06-2026,6E865,484177,ARR,PBB12L,G12L,PBB,ON,2026-06-02 14:20:00,0,OFF,2026-06-02 14:57:00,0,NULL,"Not used: FGP, PCA",YES
15989,,,484172,,PBB14,G14,PBB,ON,2026-06-02 14:35:00,0,OFF,2026-06-02 14:35:00,0,NULL,,NO
15990,02-06-2026,6E198,484182,ARR,PBB10R,G10R,PBB,ON,2026-06-02 15:13:00,0,OFF,2026-06-02 15:14:00,0,NULL,,NO
15991,02-06-2026,6E198,484184,ARR,PBB10R,G10R,PBB,ON,2026-06-02 15:15:00,0,OFF,2026-06-02 15:16:00,0,NULL,,NO
15992,02-06-2026,6E198,484253,ARR,PBB10R,G10R,PBB,ON,2026-06-02 15:16:00,0,OFF,2026-06-02 18:16:00,0,NULL,,NO
15993,02-06-2026,6E2138,484200,ARR,PBB15,G15,PBB,ON,2026-06-02 15:22:00,0,OFF,2026-06-02 16:04:00,0,NULL,,NO
15994,02-06-2026,6E2138,484199,ARR,FGP15,G15,FGP,ON,2026-06-02 15:28:00,97.3,OFF,2026-06-02 16:02:00,104.9,KWH,,NO
15995,02-06-2026,6E2138,484198,ARR,PCA15,G15,PCA,ON,2026-06-02 15:37:00,6379.7,OFF,2026-06-02 15:59:00,6407.1,KWH,,NO
15996,,,484378,,FGP11R,G11R,FGP,ON,2026-06-02 16:07:00,5437.3,OFF,2026-06-03 01:25:00,5507.5,KWH,,NO
15997,02-06-2026,6E5302,484229,ARR,FGP14,G14,FGP,ON,2026-06-02 16:28:00,6502.7,OFF,2026-06-02 17:13:00,6514.3,KWH,,NO
15998,02-06-2026,6E5302,484232,ARR,PBB14,G14,PBB,ON,2026-06-02 16:28:00,0,OFF,2026-06-02 17:14:00,0,NULL,,NO
15999,02-06-2026,6E5302,484226,ARR,PCA14,G14,PCA,ON,2026-06-02 16:30:00,5192.1,OFF,2026-06-02 17:11:00,5242.6,KWH,,NO
16000,02-06-2026,6E582,484223,ARR,FGP16,G16,FGP,ON,2026-06-02 16:32:00,908.5,OFF,2026-06-02 17:08:00,921,KWH,,NO
16001,02-06-2026,6E582,484222,ARR,PBB16,G16,PBB,ON,2026-06-02 16:31:00,0,OFF,2026-06-02 17:06:00,0,NULL,,NO
16002,02-06-2026,6E582,484220,ARR,PCA16,G16,PCA,ON,2026-06-02 16:33:00,1579,OFF,2026-06-02 17:02:00,1609.3,KWH,,NO
16003,02-06-2026,6E198,484252,ARR,FGP10R,G10R,FGP,ON,2026-06-02 16:35:00,4165.2,OFF,2026-06-02 18:15:00,4197.1,KWH,,NO
16004,02-06-2026,6E5338,484228,ARR,PBB12R,G12R,PBB,ON,2026-06-02 16:37:00,0,OFF,2026-06-02 17:12:00,0,NULL,"Not used: FGP, PCA",YES
16005,02-06-2026,6E6030,484235,ARR,PBB18,G18,PBB,ON,2026-06-02 16:46:00,0,OFF,2026-06-02 17:32:00,0,NULL,Not used: FGP,YES
16006,02-06-2026,6E6030,484233,ARR,PCA18,G18,PCA,ON,2026-06-02 16:48:00,3113.4,OFF,2026-06-02 17:25:00,3154.9,KWH,Not used: FGP,YES
16007,02-06-2026,6E198,484251,ARR,PCA10R,G10R,PCA,ON,2026-06-02 17:03:00,6451.5,OFF,2026-06-02 18:14:00,6540.5,KWH,,NO
16008,02-06-2026,6E5247,484239,ARR,PBB15,G15,PBB,ON,2026-06-02 17:09:00,0,OFF,2026-06-02 17:45:00,0,NULL,,NO
16009,02-06-2026,6E5247,484238,ARR,FGP15,G15,FGP,ON,2026-06-02 17:10:00,104.9,OFF,2026-06-02 17:44:00,115.4,KWH,,NO
16010,02-06-2026,6E5247,484237,ARR,PCA15,G15,PCA,ON,2026-06-02 17:13:00,6407.1,OFF,2026-06-02 17:44:00,6440.6,KWH,,NO
16011,02-06-2026,6E2048,484265,ARR,PBB16,G16,PBB,ON,2026-06-02 17:49:00,0,OFF,2026-06-02 18:34:00,0,NULL,,NO
16012,02-06-2026,6E2048,484264,ARR,FGP16,G16,FGP,ON,2026-06-02 17:50:00,921,OFF,2026-06-02 18:31:00,933.2,KWH,,NO
16013,02-06-2026,6E2048,484262,ARR,PCA16,G16,PCA,ON,2026-06-02 17:51:00,1609.3,OFF,2026-06-02 18:29:00,1649.4,KWH,,NO
16014,02-06-2026,IX1039,484269,ARR,PBB14,G14,PBB,ON,2026-06-02 18:11:00,0,OFF,2026-06-02 18:50:00,0,NULL,,NO
16015,02-06-2026,IX1039,484270,ARR,FGP14,G14,FGP,ON,2026-06-02 18:11:00,6514.3,OFF,2026-06-02 18:50:00,6523.7,KWH,,NO
16016,02-06-2026,IX1039,484268,ARR,PCA14,G14,PCA,ON,2026-06-02 18:12:00,5242.6,OFF,2026-06-02 18:49:00,5292,KWH,,NO
16017,02-06-2026,6E2015,484304,ARR,PBB12R,G12R,PBB,ON,2026-06-02 18:19:00,0,OFF,2026-06-02 20:11:00,0,NULL,"Not used: FGP, PCA",YES
16018,02-06-2026,6E2031,484281,ARR,PBB18,G18,PBB,ON,2026-06-02 18:23:00,0,OFF,2026-06-02 19:05:00,0,NULL,Not used: FGP,YES
16019,02-06-2026,6E2730,484284,ARR,PBB15,G15,PBB,ON,2026-06-02 18:26:00,0,OFF,2026-06-02 19:18:00,0,NULL,,NO
16020,02-06-2026,6E2031,484275,ARR,PCA18,G18,PCA,ON,2026-06-02 18:26:00,3155,OFF,2026-06-02 18:57:00,3188.8,KWH,Not used: FGP,YES
16021,02-06-2026,6E2730,484285,ARR,FGP15,G15,FGP,ON,2026-06-02 18:27:00,115.4,OFF,2026-06-02 19:18:00,128.7,KWH,,NO
16022,02-06-2026,6E2730,484283,ARR,PCA15,G15,PCA,ON,2026-06-02 18:29:00,6440.7,OFF,2026-06-02 19:17:00,6499.2,KWH,,NO
16023,02-06-2026,6E2252,484309,ARR,PBB10R,G10R,PBB,ON,2026-06-02 18:55:00,0,OFF,2026-06-02 20:30:00,0,NULL,,NO
16024,02-06-2026,6E2252,484296,ARR,FGP10R,G10R,FGP,ON,2026-06-02 18:56:00,4197.1,OFF,2026-06-02 19:53:00,4214.4,KWH,,NO
16025,02-06-2026,6E2139,484293,ARR,PBB13R,G13R,PBB,ON,2026-06-02 19:02:00,0,OFF,2026-06-02 19:48:00,0,NULL,Not used: FGP,YES
16026,02-06-2026,6E2041,484303,ARR,PBB17,G17,PBB,ON,2026-06-02 19:36:00,0,OFF,2026-06-02 20:10:00,0,NULL,Not used: FGP,YES
16027,02-06-2026,6E2041,484301,ARR,PCA17,G17,PCA,ON,2026-06-02 19:42:00,953.2,OFF,2026-06-02 20:07:00,982,KWH,Not used: FGP,YES
16028,03-06-2026,6E737,484343,ARR,PBB15,G15,PBB,ON,2026-06-02 20:04:00,0,OFF,2026-06-02 22:36:00,0,NULL,,NO
16029,03-06-2026,6E737,484374,ARR,FGP15,G15,FGP,ON,2026-06-02 20:04:00,128.7,OFF,2026-06-03 00:55:00,144.7,KWH,,NO
16030,02-06-2026,IX1005,484319,ARR,FGP14,G14,FGP,ON,2026-06-02 20:48:00,6523.7,OFF,2026-06-02 21:31:00,6536,KWH,,NO
16031,02-06-2026,IX1005,484320,ARR,PBB14,G14,PBB,ON,2026-06-02 20:48:00,0,OFF,2026-06-02 21:31:00,0,NULL,,NO
16032,02-06-2026,IX1005,484317,ARR,PCA14,G14,PCA,ON,2026-06-02 20:49:00,5292,OFF,2026-06-02 21:30:00,5346.1,KWH,,NO
16033,02-06-2026,IX1581,484328,ARR,PBB16,G16,PBB,ON,2026-06-02 21:27:00,0,OFF,2026-06-02 22:03:00,0,NULL,,NO
16034,02-06-2026,IX1581,484326,ARR,FGP16,G16,FGP,ON,2026-06-02 21:27:00,933.2,OFF,2026-06-02 22:02:00,939.4,KWH,,NO
16035,02-06-2026,IX1581,484324,ARR,PCA16,G16,PCA,ON,2026-06-02 21:30:00,1649.6,OFF,2026-06-02 21:56:00,1685.3,KWH,,NO
16036,03-06-2026,6E6093,484447,ARR,PBB13L,G13L,PBB,ON,2026-06-02 21:37:00,0,OFF,2026-06-03 06:54:00,0,NULL,,NO
16037,03-06-2026,QP2020,484342,ARR,PBB17,G17,PBB,ON,2026-06-02 21:59:00,0,OFF,2026-06-02 22:34:00,0,NULL,Not used: FGP,YES
16038,03-06-2026,6E753,484433,ARR,PBB12R,G12R,PBB,ON,2026-06-02 22:08:00,0,OFF,2026-06-03 06:27:00,0,NULL,"Not used: FGP, PCA",YES
16039,02-06-2026,6E2252,484443,ARR,PBB10R,G10R,PBB,ON,2026-06-02 22:10:00,0,OFF,2026-06-03 06:52:00,0,NULL,,NO
16040,03-06-2026,QP1430,484359,ARR,PBB18,G18,PBB,ON,2026-06-02 22:13:00,0,OFF,2026-06-02 23:23:00,0,NULL,Not used: FGP,YES
16041,03-06-2026,6E2148,484337,ARR,PBB12L,G12L,PBB,ON,2026-06-02 22:21:00,0,OFF,2026-06-02 22:22:00,0,NULL,Not used: FGP,YES
16042,03-06-2026,6E2148,484458,ARR,PBB12L,G12L,PBB,ON,2026-06-02 22:22:00,0,OFF,2026-06-03 07:49:00,0,NULL,Not used: FGP,YES
16043,03-06-2026,6E2084,484432,ARR,PBB13R,G13R,PBB,ON,2026-06-02 22:29:00,0,OFF,2026-06-03 06:09:00,0,NULL,Not used: FGP,YES
16044,,,484610,,FGP12L,G12L,FGP,ON,2026-06-02 22:29:00,6292.1,OFF,2026-06-03 14:56:00,6364.8,KWH,,NO
16045,03-06-2026,6E737,484375,ARR,PBB15,G15,PBB,ON,2026-06-02 22:37:00,0,OFF,2026-06-03 00:57:00,0,NULL,,NO
16046,03-06-2026,6E955,484411,ARR,FGP14,G14,FGP,ON,2026-06-02 22:49:00,6536,OFF,2026-06-03 04:40:00,18.5,KWH,,NO
16047,03-06-2026,6E955,484412,ARR,PBB14,G14,PBB,ON,2026-06-02 22:49:00,0,OFF,2026-06-03 04:46:00,0,NULL,,NO
16048,02-06-2026,6E2252,484439,ARR,FGP10R,G10R,FGP,ON,2026-06-02 22:51:00,4214.4,OFF,2026-06-03 06:43:00,4265.9,KWH,,NO
16049,03-06-2026,6E6360,484372,ARR,PBB16,G16,PBB,ON,2026-06-02 22:51:00,0,OFF,2026-06-03 00:08:00,0,NULL,,NO
16050,03-06-2026,6E6360,484371,ARR,FGP16,G16,FGP,ON,2026-06-02 22:53:00,939.4,OFF,2026-06-03 00:03:00,956.4,KWH,,NO
16051,03-06-2026,6E737,484425,ARR,PBB15,G15,PBB,ON,2026-06-03 00:58:00,0,OFF,2026-06-03 05:59:00,0,NULL,,NO
16052,03-06-2026,6E737,484454,ARR,FGP15,G15,FGP,ON,2026-06-03 01:21:00,144.7,OFF,2026-06-03 07:09:00,166.8,KWH,,NO
16053,03-06-2026,6E6360,484415,ARR,PBB16,G16,PBB,ON,2026-06-03 03:30:00,0,OFF,2026-06-03 04:58:00,0,NULL,,NO
16054,03-06-2026,6E6360,484413,ARR,FGP16,G16,FGP,ON,2026-06-03 03:47:00,956.4,OFF,2026-06-03 04:53:00,974.7,KWH,,NO
16055,03-06-2026,6E6360,484414,ARR,PCA16,G16,PCA,ON,2026-06-03 03:52:00,1685.9,OFF,2026-06-03 04:53:00,1741.3,KWH,,NO
16056,03-06-2026,6E955,484410,ARR,PCA14,G14,PCA,ON,2026-06-03 03:55:00,5346.1,OFF,2026-06-03 04:39:00,5391.3,KWH,,NO
16057,04-06-2026,6E198,485352,ARR,FGP11R,G11R,FGP,ON,2026-06-04 13:47:00,5632.2,OFF,2026-06-04 17:52:00,5660.4,KWH,,NO
16058,03-06-2026,QP1430,484453,ARR,PBB18,G18,PBB,ON,2026-06-03 05:47:00,0,OFF,2026-06-03 07:08:00,0,NULL,Not used: FGP,YES
16059,03-06-2026,QP1430,484450,ARR,PCA18,G18,PCA,ON,2026-06-03 05:51:00,3189,OFF,2026-06-03 07:06:00,3266.5,KWH,Not used: FGP,YES
16060,03-06-2026,6E737,484452,ARR,PCA15,G15,PCA,ON,2026-06-03 05:54:00,6499.2,OFF,2026-06-03 07:08:00,18.8,KWH,,NO
16061,03-06-2026,QP2020,484448,ARR,PBB17,G17,PBB,ON,2026-06-03 05:56:00,0,OFF,2026-06-03 06:56:00,0,NULL,Not used: FGP,YES
16062,03-06-2026,6E737,484456,ARR,PBB15,G15,PBB,ON,2026-06-03 06:00:00,0,OFF,2026-06-03 07:10:00,0,NULL,,NO
16063,03-06-2026,QP2020,484446,ARR,PCA17,G17,PCA,ON,2026-06-03 05:59:00,982.3,OFF,2026-06-03 06:55:00,1044.5,KWH,Not used: FGP,YES
16064,02-06-2026,6E2252,484438,ARR,PCA10R,G10R,PCA,ON,2026-06-03 06:04:00,6540.5,OFF,2026-06-03 06:41:00,23.5,KWH,,NO
16065,03-06-2026,6E753,484437,ARR,PBB12R,G12R,PBB,ON,2026-06-03 06:27:00,0,OFF,2026-06-03 06:38:00,0,NULL,"Not used: FGP, PCA",YES
16066,03-06-2026,6E2148,484462,ARR,PBB12L,G12L,PBB,ON,2026-06-03 07:49:00,0,OFF,2026-06-03 07:53:00,0,NULL,Not used: FGP,YES
16067,03-06-2026,QP1831,484476,ARR,PBB16,G16,PBB,ON,2026-06-03 08:52:00,0,OFF,2026-06-03 09:41:00,0,NULL,,NO
16068,03-06-2026,QP1831,484475,ARR,FGP16,G16,FGP,ON,2026-06-03 08:52:00,974.7,OFF,2026-06-03 09:37:00,984.5,KWH,,NO
16069,03-06-2026,QP1831,484474,ARR,PCA16,G16,PCA,ON,2026-06-03 08:54:00,1741.3,OFF,2026-06-03 09:36:00,1787.9,KWH,,NO
16070,03-06-2026,6E6470,484479,ARR,PBB14,G14,PBB,ON,2026-06-03 09:04:00,0,OFF,2026-06-03 09:54:00,0,NULL,,NO
16071,03-06-2026,6E6470,484478,ARR,FGP14,G14,FGP,ON,2026-06-03 09:06:00,18.5,OFF,2026-06-03 09:51:00,33.2,KWH,,NO
16072,03-06-2026,6E6470,484477,ARR,PCA14,G14,PCA,ON,2026-06-03 09:07:00,5391.4,OFF,2026-06-03 09:50:00,5434.7,KWH,,NO
16073,03-06-2026,6E5108,484491,ARR,PBB13L,G13L,PBB,ON,2026-06-03 09:17:00,0,OFF,2026-06-03 10:20:00,0,NULL,,NO
16074,03-06-2026,6E5018,484505,ARR,PBB12R,G12R,PBB,ON,2026-06-03 09:58:00,0,OFF,2026-06-03 10:56:00,0,NULL,"Not used: FGP, PCA",YES
16075,03-06-2026,6E2046,484497,ARR,FGP15,G15,FGP,ON,2026-06-03 10:06:00,166.8,OFF,2026-06-03 10:44:00,179.9,KWH,,NO
16076,03-06-2026,6E2046,484496,ARR,PBB15,G15,PBB,ON,2026-06-03 10:05:00,0,OFF,2026-06-03 10:43:00,0,NULL,,NO
16077,03-06-2026,6E2046,484498,ARR,PCA15,G15,PCA,ON,2026-06-03 10:07:00,18.9,OFF,2026-06-03 10:43:00,57.6,KWH,,NO
16078,03-06-2026,6E295,484512,ARR,PBB10R,G10R,PBB,ON,2026-06-03 10:23:00,0,OFF,2026-06-03 11:12:00,0,NULL,,NO
16079,03-06-2026,6E295,484508,ARR,FGP10R,G10R,FGP,ON,2026-06-03 10:23:00,4265.9,OFF,2026-06-03 11:08:00,4279.5,KWH,,NO
16080,03-06-2026,6E295,484509,ARR,PCA10R,G10R,PCA,ON,2026-06-03 10:25:00,23.7,OFF,2026-06-03 11:08:00,67.9,KWH,,NO
16081,04-06-2026,6E2152,485430,ARR,PCA11L,G11L,PCA,ON,2026-06-04 19:40:00,1436,OFF,2026-06-04 20:19:00,1479,KWH,,NO
16082,03-06-2026,6E2086,484528,ARR,PBB16,G16,PBB,ON,2026-06-03 10:41:00,0,OFF,2026-06-03 11:32:00,0,NULL,,NO
16083,03-06-2026,6E2086,484525,ARR,FGP16,G16,FGP,ON,2026-06-03 10:46:00,984.5,OFF,2026-06-03 11:30:00,995.1,KWH,,NO
16084,03-06-2026,6E2086,484524,ARR,PCA16,G16,PCA,ON,2026-06-03 10:48:00,1788.5,OFF,2026-06-03 11:29:00,1828.2,KWH,,NO
16085,03-06-2026,6E6840,484544,ARR,PBB12L,G12L,PBB,ON,2026-06-03 11:11:00,0,OFF,2026-06-03 12:26:00,0,NULL,,NO
16086,03-06-2026,6E533,484573,ARR,PBB18,G18,PBB,ON,2026-06-03 12:03:00,0,OFF,2026-06-03 13:33:00,0,NULL,Not used: FGP,YES
16087,03-06-2026,6E533,484571,ARR,PCA18,G18,PCA,ON,2026-06-03 12:04:00,3267,OFF,2026-06-03 13:30:00,3362.9,KWH,Not used: FGP,YES
16088,,,484539,,PBB09R,G09R,PBB,ON,2026-06-03 12:14:00,0,OFF,2026-06-03 12:14:00,0,NULL,,NO
16089,,,484541,,PBB14,G14,PBB,ON,2026-06-03 12:16:00,0,OFF,2026-06-03 12:16:00,0,NULL,,NO
16090,03-06-2026,6E6079,484558,ARR,PBB13L,G13L,PBB,ON,2026-06-03 12:26:00,0,OFF,2026-06-03 12:56:00,0,NULL,Not used: PCA,YES
16091,03-06-2026,6E832,484570,ARR,PBB14,G14,PBB,ON,2026-06-03 12:37:00,0,OFF,2026-06-03 13:21:00,0,NULL,,NO
16092,03-06-2026,6E832,484569,ARR,FGP14,G14,FGP,ON,2026-06-03 12:38:00,33.2,OFF,2026-06-03 13:17:00,44.2,KWH,,NO
16093,03-06-2026,6E832,484567,ARR,PCA14,G14,PCA,ON,2026-06-03 12:41:00,5435,OFF,2026-06-03 13:14:00,5473.9,KWH,,NO
16094,03-06-2026,6E125,484577,ARR,PBB12R,G12R,PBB,ON,2026-06-03 12:48:00,0,OFF,2026-06-03 13:42:00,0,NULL,"Not used: FGP, PCA",YES
16095,,,484561,,PBB10R,G10R,PBB,ON,2026-06-03 12:58:00,0,OFF,2026-06-03 12:59:00,0,NULL,,NO
16096,03-06-2026,6E2719,484587,ARR,PBB16,G16,PBB,ON,2026-06-03 13:13:00,0,OFF,2026-06-03 14:05:00,0,NULL,,NO
16097,03-06-2026,6E2719,484579,ARR,FGP16,G16,FGP,ON,2026-06-03 13:14:00,995.1,OFF,2026-06-03 13:45:00,1005.5,KWH,,NO
16098,03-06-2026,6E2719,484578,ARR,PCA16,G16,PCA,ON,2026-06-03 13:15:00,1828.2,OFF,2026-06-03 13:42:00,1855.7,KWH,,NO
16099,03-06-2026,6E792,484608,ARR,PBB13R,G13R,PBB,ON,2026-06-03 13:58:00,0,OFF,2026-06-03 14:49:00,0,NULL,Not used: FGP,YES
16100,03-06-2026,6E2020,484616,ARR,PBB10R,G10R,PBB,ON,2026-06-03 14:04:00,0,OFF,2026-06-03 15:10:00,0,NULL,,NO
16101,03-06-2026,6E2020,484614,ARR,FGP10R,G10R,FGP,ON,2026-06-03 14:08:00,4279.5,OFF,2026-06-03 15:04:00,4293.8,KWH,,NO
16102,03-06-2026,6E2020,484615,ARR,PCA10R,G10R,PCA,ON,2026-06-03 14:11:00,68.2,OFF,2026-06-03 15:04:00,131.3,KWH,,NO
16103,03-06-2026,6E865,484613,ARR,PBB12L,G12L,PBB,ON,2026-06-03 14:26:00,0,OFF,2026-06-03 14:58:00,0,NULL,"Not used: FGP, PCA",YES
16104,03-06-2026,6E2138,484681,ARR,PBB15,G15,PBB,ON,2026-06-03 15:50:00,0,OFF,2026-06-03 16:37:00,0,NULL,,NO
16105,03-06-2026,6E2138,484669,ARR,FGP15,G15,FGP,ON,2026-06-03 15:50:00,179.9,OFF,2026-06-03 16:26:00,190.6,KWH,,NO
16106,03-06-2026,6E2138,484668,ARR,PCA15,G15,PCA,ON,2026-06-03 15:54:00,58.2,OFF,2026-06-03 16:24:00,93.2,KWH,,NO
16107,03-06-2026,QP2022,484708,ARR,PBB12R,G12R,PBB,ON,2026-06-03 15:58:00,0,OFF,2026-06-03 16:58:00,0,NULL,"Not used: FGP, PCA",YES
16108,03-06-2026,6E582,484701,ARR,PBB14,G14,PBB,ON,2026-06-03 16:16:00,0,OFF,2026-06-03 16:51:00,0,NULL,,NO
16109,03-06-2026,6E582,484706,ARR,FGP14,G14,FGP,ON,2026-06-03 16:17:00,44.2,OFF,2026-06-03 16:52:00,55.1,KWH,,NO
16110,03-06-2026,6E582,484699,ARR,PCA14,G14,PCA,ON,2026-06-03 16:18:00,5474.3,OFF,2026-06-03 16:50:00,5510.9,KWH,,NO
16111,03-06-2026,6E5302,484719,ARR,PBB13L,G13L,PBB,ON,2026-06-03 16:31:00,0,OFF,2026-06-03 17:15:00,0,NULL,,NO
16112,03-06-2026,6E6030,484723,ARR,PBB16,G16,PBB,ON,2026-06-03 16:43:00,0,OFF,2026-06-03 17:21:00,0,NULL,,NO
16113,03-06-2026,6E6030,484721,ARR,FGP16,G16,FGP,ON,2026-06-03 16:43:00,1005.5,OFF,2026-06-03 17:18:00,1015.5,KWH,,NO
16114,03-06-2026,6E6030,484720,ARR,PCA16,G16,PCA,ON,2026-06-03 16:46:00,1855.9,OFF,2026-06-03 17:16:00,1887,KWH,,NO
16115,,,484697,,PBB18,G18,PBB,ON,2026-06-03 16:47:00,0,OFF,2026-06-03 16:47:00,0,NULL,,NO
16116,03-06-2026,6E5247,484724,ARR,PBB15,G15,PBB,ON,2026-06-03 16:51:00,0,OFF,2026-06-03 17:23:00,0,NULL,,NO
16117,03-06-2026,6E5247,484732,ARR,FGP15,G15,FGP,ON,2026-06-03 16:52:00,190.6,OFF,2026-06-03 17:31:00,203.8,KWH,,NO
16118,03-06-2026,6E5247,484731,ARR,PCA15,G15,PCA,ON,2026-06-03 16:54:00,93.2,OFF,2026-06-03 17:30:00,132.8,KWH,,NO
16119,03-06-2026,6E5247,484733,ARR,PBB15,G15,PBB,ON,2026-06-03 17:23:00,0,OFF,2026-06-03 17:34:00,0,NULL,,NO
16120,03-06-2026,IX1039,484761,ARR,PBB16,G16,PBB,ON,2026-06-03 18:09:00,0,OFF,2026-06-03 18:52:00,0,NULL,,NO
16121,03-06-2026,IX1039,484757,ARR,FGP16,G16,FGP,ON,2026-06-03 18:10:00,1015.5,OFF,2026-06-03 18:45:00,1023.6,KWH,,NO
16122,03-06-2026,IX1039,484756,ARR,PCA16,G16,PCA,ON,2026-06-03 18:12:00,1887.5,OFF,2026-06-03 18:44:00,1930.3,KWH,,NO
16123,04-06-2026,6E6279,485051,ARR,PBB12R,G12R,PBB,ON,2026-06-03 18:17:00,0,OFF,2026-06-04 06:32:00,0,NULL,"Not used: FGP, PCA",YES
16124,03-06-2026,6E2031,484762,ARR,PBB14,G14,PBB,ON,2026-06-03 18:19:00,0,OFF,2026-06-03 18:57:00,0,NULL,,NO
16125,03-06-2026,6E2031,484760,ARR,FGP14,G14,FGP,ON,2026-06-03 18:19:00,55.2,OFF,2026-06-03 18:52:00,64.3,KWH,,NO
16126,03-06-2026,6E2031,484758,ARR,PCA14,G14,PCA,ON,2026-06-03 18:26:00,5511.3,OFF,2026-06-03 18:48:00,5537.8,KWH,,NO
16127,03-06-2026,6E2730,484773,ARR,PBB13L,G13L,PBB,ON,2026-06-03 18:40:00,0,OFF,2026-06-03 19:19:00,0,NULL,"Not used: FGP, PCA",YES
16128,03-06-2026,6E5096,484786,ARR,PBB18,G18,PBB,ON,2026-06-03 18:43:00,0,OFF,2026-06-03 19:41:00,0,NULL,Not used: FGP,YES
16129,03-06-2026,6E5096,484782,ARR,PCA18,G18,PCA,ON,2026-06-03 18:49:00,3362.9,OFF,2026-06-03 19:29:00,3405.8,KWH,Not used: FGP,YES
16130,03-06-2026,6E2048,484789,ARR,PBB10R,G10R,PBB,ON,2026-06-03 19:05:00,0,OFF,2026-06-03 19:43:00,0,NULL,,NO
16131,03-06-2026,6E2048,484785,ARR,FGP10R,G10R,FGP,ON,2026-06-03 19:05:00,4293.8,OFF,2026-06-03 19:40:00,4304.6,KWH,,NO
16132,03-06-2026,6E2048,484784,ARR,PCA10R,G10R,PCA,ON,2026-06-03 19:07:00,131.5,OFF,2026-06-03 19:38:00,166.5,KWH,,NO
16133,03-06-2026,6E2139,484806,ARR,PBB13R,G13R,PBB,ON,2026-06-03 19:21:00,0,OFF,2026-06-03 20:20:00,0,NULL,"Not used: FGP, PCA",YES
16134,03-06-2026,6E2041,484787,ARR,PBB15,G15,PBB,ON,2026-06-03 19:23:00,0,OFF,2026-06-03 19:42:00,0,NULL,,NO
16135,03-06-2026,6E2041,484810,ARR,FGP15,G15,FGP,ON,2026-06-03 19:24:00,203.8,OFF,2026-06-03 20:27:00,227,KWH,,NO
